sample,Acanthaluteres spilomelanurus,Acanthaluteres vittiger,Aetapcus maculatus,Aplodactylus arctidens,Arripis trutta,Atypichthys strigatus,Cephaloscyllium laticeps,Cheilodactylus nigripes,Cheilodactylus spectabilis,Chromis hypsilepis,Dinolestes lewini,Dotalabrus aurantiacus,Enoplosus armatus,Girella tricuspidata,Girella zebra,Haletta semifasciata,Heteroclinus spp.,Heteroclinus tristis,Heterodontus portusjacksoni,Hyporhamphus melanochir,Kyphosus sydneyanus,Leptatherina presbyteroides,Meuschenia australis,Meuschenia flavolineata,Meuschenia freycineti,Neoodax balteatus,Neosebastes scorpaenoides,Notolabrus fucicola,Notolabrus tetricus,Olisthops cyanomelas,Parablennius tasmanianus,Parascyllium ferrugineum,Parma microlepis,Pempheris multiradiata,Pictilabrus laticlavius,Pseudocaranx georgianus,Pseudolabrus rubicundus,Pseudophycis bachus,Scorpis aequipinnis,Scorpis lineolata,Siphonognathus beddomei,Trachinops caudimaculatus,Trachurus declivis,Trinorfolkia clarkei,Upeneichthys vlamingii,Urolophus cruciatus,Urolophus paucimaculatus,Vincentia conspersa
2-1,,6,,8,,,3,,15,,,,,,,,,,,,,90,4,1,4,3,,21,18,,,,,3,8,,1,,,16,,1,,,,,,
2-2,3,3,,6,,41,,,4,,,,,1,1,,,,,,,,1,1,,20,,2,4,,,,,,1,,1,,3,,1,,1,1,1,,1,
2-3,,70,,,,,,,1,,,,,,1,,,,,,,,,,,,,2,8,,,,,,3,,,,,,,,,,,2,,
2-4,,23,,4,,,,,3,,,1,,,1,,,,,,,,1,,,2,,5,10,,,1,,,1,,,,,,,,1,,,2,,
4-1,,2,,2,,50,,,,,1,,,,,,,,,,,200,4,,,4,,11,9,,,,,,4,,,,,3,,40,,,,,,
4-2,,,,4,,39,,,11,,22,,,,6,,,,,,,500,5,6,,39,,24,27,,,,,9,,,,,6,,,,,,,,,
4-3,,4,,1,,25,,,1,,,,,,,,,,,,,135,2,,,1,,7,3,1,,,,,1,,,,,5,,,,,,,,
4-4,,2,,1,,,1,1,,,,,,,,,,,,,,,,,,,,6,7,1,,,,1,2,,,,,,,,,,,,,
5-1,1,,,1,,20,,,,,,,,,1,,,,,,,200,,,,,,3,10,,,,,,8,,,,,,,,,,,,,
5-2,,3,,,,3,,,,,6,,,,,,,,1,,,500,3,,,,,16,13,,,,,,,,,1,,,,150,,,,,,
5-3,,6,1,,,,,,3,,,6,,,,1,,1,,,,300,,,1,,,16,23,1,,,,,,,,,,,,7,,,1,6,,
5-4,,,,,,,,,1,,2,,2,,,,,,,,,100,,,,,,2,11,,,,,,1,,,,,,,,,,,,,1
6-1,,1,,2,3,26,,,,,1,,,,,,,,,6,14,150,,,,1,,5,10,1,,,,,8,,,,1,,,,,,,,,
6-2,,8,,12,,,,,11,,,,,,,,,,,,,,11,,,4,,17,17,13,,,,,1,,,,,41,,2,0,,,,,
6-3,,2,,4,,,1,,3,,,5,,,,,,,,,,250,,,1,200,,29,30,8,,,,3,3,,,,,,1,30,,,,,,
6-4,,11,,3,,,,,1,,19,,1,,,,,,,20,,,,,,,,,18,,,,,,1,,1,,3,,,30,,,,,,
7-1,,,,3,,,,,2,,,,,,,,,,,,,100,2,,,11,,17,21,2,,,3,,2,,,,,8,,21,,1,1,,,
7-2,,2,,3,,7,,,4,,,2,,,,,1,,,,,100,2,,,10,,5,19,,1,,,,12,,,10,3,,1,10,,,,,,
7-3,,1,,2,,84,,,4,,,,,,,,,,,,,8,,,1,8,3,12,31,,,,3,,4,,,,,,,83,,,,,,
7-4,,14,,,,,,,,5,,,,,,,,,,,,,,,11,2,,4,17,,,,,,3,,3,,,,,64,,,,,,
8-1,,,,7,,25,,,7,,,,,,,,,,,,,130,,2,,,,19,4,1,,,3,,,,,,,,,,,,,,,1
8-2,,1,,,,15,,,,,,,,,,,,,,,,300,,,,21,,3,1,,1,,,,1,1,,,,,,,,,,,,
8-3,,,,,,5,,,2,,,3,,,,,,,,,,,,,,6,,5,19,,,,,,3,,,,,,,3,,,,,,
8-4,,1,,2,,40,,,3,,,,,,,,,1,,,,,,,,2,,8,8,,,,1,,,,,,,,2,24,,,,,,
