sample,Site No.,Site name,Transect No.,Depth,vis,MPA,Kelp ,Complexity,Dive number,,,,,,,
2-1,2,North of Jetty,1,1,15,Reserve,1,1,1,,,,,,,
2-2,2,North of Jetty,2,2,15,Reserve,2,2,1,,,,,,,
2-3,2,North of Jetty,3,4,15,Reserve,3,3,1,,,,,,,
2-4,2,North of Jetty,4,4,15,Reserve,4,4,1,,,,,,,
4-1,4,Painted Cliffs,1,1,6,Reserve,1,1,5,,,,,,,
4-2,4,Painted Cliffs,2,2,10,Reserve,2,2,5,,,,,,,
4-3,4,Painted Cliffs,3,5,6,Reserve,3,3,5,,,,,,,
4-4,4,Painted Cliffs,4,4,6,Reserve,4,4,5,,,,,,,
5-1,5,Point Lesueur,1,1.5,10,Fished,1,1,3,,,,,,,
5-2,5,Point Lesueur,2,2,10,Fished,2,2,3,,,,,,,
5-3,5,Point Lesueur,3,4,10,Fished,3,3,3,,,,,,,
5-4,5,Point Lesueur,4,4,10,Fished,4,4,3,,,,,,,
6-1,6,Painted Bombie,1,1,15,Reserve,1,1,2,,,,,,,
6-2,6,Painted Bombie,2,2,15,Reserve,2,2,2,,,,,,,
6-3,6,Painted Bombie,3,3,15,Reserve,3,3,2,,,,,,,
6-4,6,Painted Bombie,4,5,15,Reserve,4,4,2,,,,,,,
7-1,7,Return Point ,1,1,10,Fished,1,1,4,,,,,,,
7-2,7,Return Point ,2,2,10,Fished,2,2,4,,,,,,,
7-3,7,Return Point ,3,3,10,Fished,3,3,4,,,,,,,
7-4,7,Return Point ,4,4,10,Fished,4,4,4,,,,,,,
8-1,8,Magistrates South,1,1,8,Reserve,1,1,6,,,,,,,
8-2,8,Magistrates South,2,2,7,Reserve,2,2,6,,,,,,,
8-3,8,Magistrates South,3,3,6,Reserve,3,3,6,,,,,,,
8-4,8,Magistrates South,4,4,8,Reserve,4,4,6,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
